제목,저자,출판사,발행일,정가,판매가,리뷰 수,판매지수,상세 정보,설명,상세 페이지 URL
시스템 설계 면접 완벽 가이드,지용 탄 /나정호 역,위키북스,2025년 05월,35000,31500,1,"1,110",N/A,시스템 설계 면접 인터뷰는 소프트웨어 엔지니어링 채용 과정에서 마주하게 될 가장 어려운 도전 중 하나이다. 『시스템 설계 면접 완벽 가이드』는 자신 있게 인터뷰를 성공적으로 이끌어 나가는 방법을 배울 수 있...,https://www.yes24.com/product/goods/146001566
한눈에 보이는 인공지능 수학 그림책,"한선관, 정기민",성안당,2023년 07월,23000,20700,22,798,N/A,2024 세종도서 학술 부문 추천 도서 세상에서 가장 쉬운 인공지능 수학 책! 한눈에 보이는 인공지능 수학 그림책최근 오픈AI 사의 그렉 브록만 사장과 샘 알트만 CEO가 방한하여 인공지능과 챗GPT에 대한 인기가 최...,https://www.yes24.com/product/goods/120164381
혼자 공부하는 머신러닝+딥러닝,박해선,한빛미디어,2020년 12월,26000,23400,120,"11,316",N/A,"- 혼자 해도 충분하다! 1:1 과외하듯 배우는 인공지능 자습서 이 책은 수식과 이론으로 중무장한 머신러닝, 딥러닝 책에 지친 ‘독학하는 입문자’가 ‘꼭 필요한 내용을 제대로’ 학습할 수 있도록 구성했다. 구글 ...",https://www.yes24.com/product/goods/96024871
파이토치와 유니티 ML-Agents로 배우는 강화학습 [응용편],"민규식, 이현호, 박유민",위키북스,2025년 01월,38000,34200,1,840,N/A,유니티를 이용하여 직접 게임을 제작하고 ML-Agents로 강화학습 환경을 구성해 보자! 유니티 ML-Agents는 게임 엔진인 유니티를 통해 제작한 시뮬레이션 환경을 강화학습을 위한 환경으로 만들어주는 고마운 도구이...,https://www.yes24.com/product/goods/140991380
파이썬으로 구현하는 로보어드바이저,"윤성진, 리준, 이유리, 조민기, 허재웅",에이콘출판사,2024년 07월,36000,32400,4,522,N/A,"로보어드바이저 시스템의 핵심 엔진을 개발했던 금융 AI 연구원들이 직접 쓴 책으로, 로보어드바이저를 구성하는 주요 포트폴리오 전략을 파이썬 코드와 함께 설명하고 있다. 특히, 포트폴리오 최적화 전략부터 시작...",https://www.yes24.com/product/goods/129131598
AI를 활용한 경영전략 수립,은종성,책길,2025년 02월,19800,17820,11,"2,010",N/A,"실무 중심의 경영전략 가이드이 책은 단순히 AI 활용 방법을 나열하지 않는다. 실제 컨설팅 현장에서 사용된 프롬프트와 사례를 바탕으로, 경영전략 수립 과정을 실무적으로 담아냈다. 챗GPT를 활용해 얻은 답변을 ...",https://www.yes24.com/product/goods/141267035
"AI, 너 내 마케터가 돼라!",오종현,e비즈북스,2025년 01월,18000,16200,0,"1,710",N/A,"AI로 콘텐츠 만들기, 왜 나는 안 되는 거야?깜깜했던 눈이 떠지는 생성형 AI 프롬프트 가이드AI는 이제 박사급 전문가 수준의 평가를 받을 만큼 뛰어난 도구이다. 하지만 올바른 사용 방법을 모른다면 그 능력의 극...",https://www.yes24.com/product/goods/141129325
한권으로 끝내는 챗(Chat)GPT 인사이트 가이드북,김영환,BOOKK(부크크),2023년 05월,18900,18900,0,594,N/A,N/A,https://www.yes24.com/product/goods/119266691
사물인터넷을 위한 리눅스 프로그래밍 with 라즈베리 파이,서영진,제이펍,2020년 03월,38000,34200,7,390,N/A,라즈베리 파이로 배우는 사물인터넷과 리눅스 프로그래밍! 제4차 산업혁명을 위한 최신 내용을 더한 개정판『사물인터넷을 위한 리눅스 프로그래밍 with 라즈베리 파이』는 라즈베리 파이 같은 오픈 소스 하드웨어와...,https://www.yes24.com/product/goods/89306782
AIX: 인공지능 대전환의 시대,현대원,메타엑스미디어,2025년 05월,20000,18000,0,390,N/A,"인간과 AI, 창작의 경계를 넘다 - 『AIX: 인공지능 대전환의 시대』의 선언『AIX: 인공지능 대전환의 시대』는 인공지능이 단지 기술 도구를 넘어 창작의 주체로 진화하고 있는 현재를 정밀하게 포착한 선언서다. 이...",https://www.yes24.com/product/goods/146870669
도널드 노먼의 인터랙션 디자인 특강,도널드 노먼 /김주희 역,유엑스리뷰,2022년 09월,29000,26100,6,234,N/A,스마트한 사물과 상호작용하기 위한 디자인의 원칙들UX의 창시자이자 인간 중심 디자인의 개척자 도널드 노먼의 인터랙션 디자인 철학!동화 『백설공주』에 등장하는 계모는 마법 거울에게 매일매일 이렇게 묻는다. ...,https://www.yes24.com/product/goods/112937870
맥킨지의 로지컬 라이팅,아카바 유지 /이지현 역,유엑스리뷰,2025년 04월,23000,20700,32,"1,662",N/A,세계 최고 컨설팅 기업 맥킨지의 한국 지부 창립 멤버이자베테랑 컨설턴트 출신 비즈니스 글쓰기 권위자의 논리적 글쓰기!그대로 따라 할 수 있는 글쓰기의 기본기를 도식화!초일류 경영 컨설턴트들의 필수 역량이자...,https://www.yes24.com/product/goods/145239043
AI 지도책,케이트 크로퍼드 /노승영 역,소소의책,2022년 11월,21000,18900,60,"1,554",N/A,"지도처럼 한눈에 들여다보는 인공지능의 지형학AI를 둘러싼 부와 권력, 정의의 문제를 생각하고 그 대안을 찾는다인공지능이 정치와 경제 활동에 깊이 스며들고 지구의 자원을 고갈시키면 무슨 일이 일어날까? 우리...",https://www.yes24.com/product/goods/115782215
AI와 트렌드,손현주,커뮤니케이션북스,2025년 07월,12000,12000,0,126,N/A,"트렌드는 더 이상 유행이 아니라 시스템이다. AI와 알고리즘이 설계한 트렌드 생태계를 분석하고, 정체성과 감정, 데이터가 어떻게 결합해 시대의 흐름을 만드는지 철학적 통찰로 풀어낸다.",https://www.yes24.com/product/goods/147852191
수학대백과사전,구라모토 다카후미 /린커넥터 역,동양북스(동양books),2020년 12월,18000,16200,28,"2,946",N/A,"개념과 사례로 되짚는 기초 교양 수학의 모든 것수학은 실생활의 모든 분야에 꼭 필요한 학문으로 많은 관심을 받고 있다. 최근에는 이과와 문과의 경계도 허물어져 경제학, 심리학 등의 분야에서 고등학교 수학 소...",https://www.yes24.com/product/goods/96375165
적대적 머신러닝,"앤서니 조셉, 블레인 넬슨, 벤자민 루빈슈타인, J. D. 타이가 /김우석 역 외 4명
                                        
정보 더 보기/감추기



앤서니 조셉
블레인 넬슨
벤자민 루빈슈타인
J. D. 타이가
김우석
장기식
김대엽
이용석
이경호",에이콘출판사,2020년 06월,40000,36000,1,150,N/A,『적대적 머신러닝』은 이메일 스팸과 네트워크 보안에 관한 사례 연구를 포함해 시스템의 보안을 분석하고 적대적인 환경에서 강건한 머신러닝 알고리즘을 구축하는 데 필요한 이론과 실용적인 기술을 모두 다루고 ...,https://www.yes24.com/product/goods/90617942
문과의 언어로 풀어낸 AI 필수 용어 56,남규택,파이돈,2025년 10월,13000,11700,0,504,N/A,"전문용어를 또 다른 전문용어로 설명하지 않는‘최고로 쉽고 간결한 AI 용어 해설서’이자 디지털 시대의 ‘생존 교양서’AI가 일상과 업무 곳곳에 스며든 시대가 왔지만, 여전히 많은 직장인에게 AI와 디지털 용어...",https://www.yes24.com/product/goods/155060003
쉽게 배우고 생활에 바로 쓰는 AI 활용,오상열,아이콕스(iCox),2025년 08월,15000,13500,1,312,N/A,"쉽게 배우고 생활에 바로 쓰는 능력향상 시리즈 (시즌 6)능력향상 시리즈는 컴퓨터를 잘 다루지 못하는 일반인, 컴퓨터를 처음 접하는 어르신들을 위해 만들어졌다. 실생활에 바로 적용할 수 있는 실용적인 예제를 ...",https://www.yes24.com/product/goods/149607439
패턴인식,오일석,인피니티북스,2023년 02월,33000,33000,0,360,N/A,"본서는 인간의 패턴인식 과정을 컴퓨터로 흉내내는 학문 분야인 패턴인식을 '이야기' 방식으로 서술하여 재미를 더한 학습서이다. 먼저 '왜?'를 말한 다음, 상식으로 이해할 수 있는 수준의 배경과 개념을 제시하였...",https://www.yes24.com/product/goods/117483080
실전! 컴퓨터비전을 위한 머신러닝,"발리아파 락슈마난, 마틴 괴르너, 라이언 길라드",위키북스,2023년 07월,35000,31500,4,306,N/A,"《실전! 컴퓨터비전을 위한 머신러닝》은 머신러닝 모델을 활용해 이미지에서 정보를 추출하는 법을 알려주는 실용적인 책이다. 머신러닝(ML) 엔지니어와 데이터 사이언티스트는 검증된 ML 기법으로 이미지 분류, 객...",https://www.yes24.com/product/goods/119999094
